District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Bela,03-May-22,0.0,8.1,41.0
Adilabad,Bela,04-May-22,0.0,9.9,67.8
Adilabad,Bela,05-May-22,0.0,27.2,56.3
Adilabad,Bela,06-May-22,0.0,6.5,53.0
Adilabad,Bela,07-May-22,0.0,5.3,55.9
Adilabad,Bela,08-May-22,0.0,9.9,56.3
Adilabad,Bela,09-May-22,0.0,9.2,45.8
Adilabad,Bela,10-May-22,0.0,6.6,46.4
Adilabad,Bela,11-May-22,0.0,7.3,55.0
Adilabad,Bela,12-May-22,0.0,16.2,59.2
Adilabad,Bela,13-May-22,0.0,18.8,72.1
Adilabad,Bela,14-May-22,0.0,21.5,56.6
Adilabad,Bela,15-May-22,0.0,8.1,49.1
Adilabad,Bela,16-May-22,1.8,12.6,62.1
Adilabad,Bela,17-May-22,0.0,22.8,60.9
Adilabad,Bela,18-May-22,0.0,15.1,57.1
Adilabad,Bela,19-May-22,0.0,18.2,68.2
Adilabad,Bela,20-May-22,0.0,26.7,69.8
Adilabad,Bela,21-May-22,0.0,23.4,60.0
Adilabad,Bela,22-May-22,0.0,14.2,48.0
Adilabad,Bela,23-May-22,0.0,10.4,48.0
Adilabad,Bela,24-May-22,0.0,14.2,48.5
Adilabad,Bela,25-May-22,0.0,17.5,61.6
Adilabad,Bela,26-May-22,5.7,20.1,83.4
Adilabad,Bela,27-May-22,3.7,17.0,92.3
Adilabad,Bela,28-May-22,0.0,18.2,58.2
Adilabad,Bela,29-May-22,0.0,11.7,52.5
Adilabad,Bela,30-May-22,0.0,13.0,49.4
Adilabad,Bela,31-May-22,0.0,15.5,46.5
Adilabad,Bheempoor,01-May-22,0.0,16.0,38.0
Adilabad,Bheempoor,02-May-22,0.0,16.9,42.7
Adilabad,Bheempoor,03-May-22,0.0,20.6,43.5
Adilabad,Bheempoor,04-May-22,0.0,21.8,65.3
Adilabad,Bheempoor,05-May-22,0.0,29.0,69.6
Adilabad,Bheempoor,06-May-22,0.0,18.9,49.2
